"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged","region"
"48","COL",7,1.485389,0.0698742,3.166225,3300,0.06,5,0,0,5.296875,19.83297,"Other"
"49","CRI",2,4.598011,0.5155604,0.9623636,2904,0.07,0,0,0,5.471354,21.031481,"Other"
"50","CRI",3,2.494488,0.3238541,0.9430766,3329,0.07,0,0,0,5.471354,24.32032,"Other"
"51","CRI",4,-0.6369497,0.4544604,0.6814356,3765,0.07,0,0,0,5.471354,30.008881,"Other"
"52","CRI",5,-1.9351,2.035965,0.7828673,3077,0.07,0,0,0,5.471354,44.44577,"Other"
"53","CRI",6,1.959735,1.789902,3.058656,3273,0.07,0,0,0,5.471354,41.050411,"Other"
"54","CRI",7,2.6018901,0.9984065,3.1200271,3499,0.07,0,0,0,5.471354,39.75853,"Other"
"55","DOM",2,9.5358124,0.6088132,1.124981,1536,0.04,0.25,0,0,4.515625,15.83432,"Other"
"56","DOM",3,2.8581259,0.3210371,1.1237791,2079,0.04,0,0,0,4.515625,20.31345,"Other"
"57","DOM",4,1.749666,0.5828206,0.9725283,2092,0.04,0,0,0,4.515625,23.201361,"Other"
"58","DOM",5,-1.2920769,1.037454,0.9116656,2256,0.04,0,0,0,4.515625,19.719481,"Other"
"59","DOM",6,3.539212,0.6109455,0.9433865,2160,0.04,0,0,0,4.515625,17.577209,"Other"
"60","DOM",7,-0.413998,0.4405444,0.9846804,2166,0.04,0,0,0,4.515625,23.41629,"Other"
"61","DZA",2,2.386265,1.032286,0.7452368,1826,0.43,0,0,0,4.364583,49.102669,"Other"
"62","DZA",3,3.2366841,0.5008871,1.413676,2256,0.43,0,0,0,4.364583,61.462471,"Other"
"63","DZA",4,1.8193769,0.2997423,NA,2591,0.43,0,0,0,4.364583,54.900951,"Other"
"64","DZA",5,2.619137,0.1466725,NA,2823,0.43,0,0,0,4.364583,60.266769,"Other"
"65","DZA",6,-1.846692,0.179638,NA,2970,0.43,0,0,0,4.364583,71.996803,"Other"
"66","DZA",7,-3.0764711,0.230067,NA,2777,0.43,1.25,0,0,4.364583,82.306442,"Other"
"67","ECU",2,10.3143301,0.3640414,3.1408429,1789,0.53,0,0,0,5.416667,18.971531,"Other"
"68","ECU",3,3.6733351,0.266855,3.13921,2498,0.53,0,0,0,5.416667,22.69136,"Other"
"69","ECU",4,2.326406,0.1861308,3.127589,3077,0.53,0,0,0,5.416667,22.643379,"Other"
"70","ECU",5,-0.8804302,0.2968566,1.345718,3193,0.53,0,0,0,5.416667,22.757339,"Other"
"71","ECU",6,-0.7227359,0.3715129,0.7108745,2885,0.53,0,0,0,5.416667,22.45019,"Other"
"72","ECU",7,1.057124,0.4543489,2.467953,2755,0.53,0,0,0,5.416667,20.319599,"Other"
"73","EGY",2,2.3666029,1.6644599,NA,1163,0.04,0,0,0,4.348958,36.817249,"Other"
"74","EGY",3,7.863193,4.066195,-0.1068098,1175,0.04,0.25,0,0,4.348958,36.99165,"Other"
"75","EGY",4,5.0128808,1.834349,0.3208535,1465,0.04,0,0,0,4.348958,49.034691,"Other"
"76","EGY",5,5.5104132,1.7236561,0.2492841,1732,0.04,0,0,0,4.348958,63.557259,"Other"
"77","EGY",6,1.08249,1.386881,0.4539143,1927,0.04,0,0,0,4.348958,83.637077,"Other"
"78","EGY",7,-0.6464122,2.9465799,0.9035281,1912,0.04,1.25,0,0,4.348958,86.580147,"Other"
"79","ETH",2,NA,1.062878,NA,296,0.69,0,1,0,4.416667,13.84413,"Sub-saharan Africa"
"80","ETH",3,NA,1.611955,NA,300,0.69,2.25,1,0,4.416667,15.92865,"Sub-saharan Africa"
"81","ETH",4,NA,1.846928,0.929665,315,0.69,0.75,1,0,4.416667,22.63102,"Sub-saharan Africa"
"82","ETH",5,-12.2038603,3.167897,0.7159156,322,0.69,0,1,0,4.416667,26.453409,"Sub-saharan Africa"
"83","ETH",6,2.731317,4.3228149,0.9130801,312,0.69,0,1,0,4.416667,26.80909,"Sub-saharan Africa"
"84","ETH",7,-0.8031871,5.3183789,0.5250551,NA,0.69,0,1,0,4.416667,32.605518,"Sub-saharan Africa"
"85","GAB",2,6.0282741,3.3934021,0.4694497,3704,0.69,0,1,0,5.375521,15.2697,"Sub-saharan Africa"
"86","GAB",3,12.2700396,1.3425421,0.2619957,5030,0.69,0,1,0,5.375521,16.33683,"Sub-saharan Africa"
"87","GAB",4,-9.5358829,1.220373,1.2900389,5408,0.69,0,1,0,5.375521,16.313219,"Sub-saharan Africa"
"88","GAB",5,-0.0405246,1.8434941,1.177301,4226,0.69,0,1,0,5.375521,18.482849,"Sub-saharan Africa"
"89","GAB",6,-1.900159,1.780682,0.9427492,4030,0.69,0,1,0,5.375521,18.31319,"Sub-saharan Africa"
"90","GAB",7,0.7420641,1.8710001,1.344708,3958,0.69,0,1,0,5.375521,21.063459,"Sub-saharan Africa"
"91","GHA",2,1.128342,1.067504,0.8576345,1059,0.71,0,1,0,3.695313,20.529181,"Sub-saharan Africa"
"92","GHA",3,-4.454855,0.9828767,0.1458671,1091,0.71,0,1,0,3.695313,21.06576,"Sub-saharan Africa"
"93","GHA",4,-0.8954403,1.300933,0.0754337,1027,0.71,0,1,0,3.695313,26.050249,"Sub-saharan Africa"
"94","GHA",5,-3.0525,1.561625,1.10525,795,0.71,0,1,0,3.695313,20.163561,"Sub-saharan Africa"
"95","GHA",6,1.790827,3.660423,3.0957329,807,0.71,0,1,0,3.695313,13.47542,"Sub-saharan Africa"
"96","GHA",7,1.03614,2.9498079,3.0588901,902,0.71,0,1,0,3.695313,14.8458,"Sub-saharan Africa"
"97","GMB",2,-0.1897431,2.1464369,1.126354,722,0.73,0,1,0,5.625,21.79365,"Sub-saharan Africa"
"98","GMB",3,3.86113,3.224483,0.8264822,881,0.73,0,1,0,5.625,26.853121,"Sub-saharan Africa"
"99","GMB",4,-0.7028198,7.0985351,0.595847,1179,0.73,0,1,0,5.625,22.68784,"Sub-saharan Africa"
"100","GMB",5,0.4907541,7.8964672,0.6389125,872,0.73,0,1,0,5.625,22.63336,"Sub-saharan Africa"
"101","GTM",2,3.3924861,0.2987463,1.125383,2028,0.64,3.25,0,0,2.841146,17.546431,"Other"
"102","GTM",3,2.923883,0.3258652,1.026605,2260,0.64,0.25,0,0,2.841146,20.655479,"Other"
"103","GTM",4,0.674657,0.3346257,0.8984531,2576,0.64,11.5,0,0,2.841146,22.54999,"Other"
"104","GTM",5,-4.3911209,0.3948421,0.9770913,2349,0.64,1.75,0,0,2.841146,22.33733,"Other"
"105","GTM",6,-0.0557811,0.8908902,2.012615,2037,0.64,0,0,0,2.841146,25.70904,"Other"
"106","GTM",7,0.9107409,0.7212088,3.114068,2127,0.64,4.75,0,0,2.841146,24.200649,"Other"
"107","GUY",2,0.7963295,1.334105,0.6529607,1816,0.58,0,0,0,2.841146,29.24869,"Other"
"108","GUY",3,2.9822781,1.046527,0.3112545,1935,0.58,0,0,0,2.841146,35.089691,"Other"
